__time,/external_wrenches/force/x,/external_wrenches/force/y,/external_wrenches/force/z,/external_wrenches/torque/x,/external_wrenches/torque/y,/external_wrenches/torque/z,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781285294.010027,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010038,,,,,,,,,,1781285294.001915216,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010055,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010064,,,,,,,,,,1781285294.002573967,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010081,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010089,,,,,,,,,,1781285294.003550291,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010108,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010120,,,,,,,,,,1781285294.004974604,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010134,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010140,,,,,,,,,,1781285294.005548716,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010153,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010159,,,,,,,,,,1781285294.006455660,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010172,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010182,,,,,,,,,,1781285294.007542372,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010195,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010199,,,,,,,,,,1781285294.008998394,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.010213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
1781285294.010217,,,,,,,,,,1781285294.009713888,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.011986,,,,,,,,,,1781285294.011316776,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.012855,,,,,,,,,,1781285294.012238026,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.012901,,,,,,,,,,1781285294.012664318,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.013948,,,,,,,,,,1781285294.013450384,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.014855,,,,,,,,,,1781285294.014423609,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.016403,,,,,,,,,,1781285294.015906572,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.016926,,,,,,,,,,1781285294.016579151,0.785000000,-0.000000000,0.785000000,0.000000000
1781285294.016993,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017138,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017195,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017211,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017219,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017224,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017231,,,,,,,0.000000000,-0.000000000,0.000000000,,,,,
1781285294.017782,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,,,,,
