__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781280558.788953,,,,1781280558.787979126,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.789411,0.000000000,0.000000000,0.000000000,,,,,
1781280558.790185,0.000000000,0.000000000,0.000000000,,,,,
1781280558.790226,,,,1781280558.789072752,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.790240,,,,1781280558.789814711,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.791611,0.000000000,0.000000000,0.000000000,,,,,
1781280558.792387,,,,1781280558.791458130,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.792427,0.000000000,0.000000000,0.000000000,,,,,
1781280558.792830,,,,1781280558.792199612,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.793378,0.000000000,0.000000000,0.000000000,,,,,
1781280558.794900,0.000000000,0.000000000,0.000000000,,,,,
1781280558.796516,0.000000000,0.000000000,0.000000000,,,,,
1781280558.798290,0.000000000,0.000000000,0.000000000,,,,,
1781280558.798376,,,,1781280558.793015480,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.798381,0.000000000,0.000000000,0.000000000,,,,,
1781280558.798396,,,,1781280558.794554949,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.798400,0.000000000,0.000000000,0.000000000,,,,,
1781280558.798414,,,,1781280558.795139074,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.798505,,,,1781280558.796639442,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.798519,,,,1781280558.797531843,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.798529,,,,1781280558.797900200,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.799827,0.000000000,0.000000000,0.000000000,,,,,
1781280558.800115,,,,1781280558.799658537,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.800539,0.000000000,0.000000000,0.000000000,,,,,
1781280558.800966,,,,1781280558.800312519,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.801419,0.000000000,0.000000000,0.000000000,,,,,
1781280558.801767,,,,1781280558.801206112,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.802312,0.000000000,0.000000000,0.000000000,,,,,
1781280558.802576,,,,1781280558.802125931,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.803490,0.000000000,0.000000000,0.000000000,,,,,
1781280558.804106,,,,1781280558.803362370,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.804468,0.000000000,0.000000000,0.000000000,,,,,
1781280558.804725,,,,1781280558.804290295,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.805466,0.000000000,0.000000000,0.000000000,,,,,
1781280558.805595,,,,1781280558.805275440,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.806378,0.000000000,0.000000000,0.000000000,,,,,
1781280558.806581,,,,1781280558.806215048,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.807367,0.000000000,0.000000000,0.000000000,,,,,
1781280558.807645,,,,1781280558.807232618,0.785398000,0.000000000,-0.785398000,0.000000000
1781280558.808657,0.000000000,0.000000000,0.000000000,,,,,
